prompt,target,ngram,seq2seq,gpt2,t5
"Texas Gov. Greg Abbott Loudly Booed At Uvalde Memorial
Joke:",Abbott got booed at a memorial—that's his Uvalde legacy right there.,,Abbott booed at a memorial—that's what people do when they walk past a group of sad people on the way to funerals.,"Abbott booed at a memorial service—that's not protest, that's intimidation.",Greg Abbott was drunk at Uvalde Memorial—the slap rolled out at the memorial.
"Former Louisville Cop Pleads Guilty In Breonna Taylor Case
Joke:",He finally admitted what everyone already knew—three years too late.,,"She's guilty—that's not justice, that's the jury saying 'yes.'",A Louisville cop pleaded guilty to murdering a fellow cop. That's justice at its finest.,A Louisville cop accused Breonna Taylor of lying—that's because she's too lazy to fight again.
"Beijing Loyalist John Lee Elected As Hong Kong's Next Leader
Joke:","Beijing literally just picked Hong Kong's leader—that's not an election, that's a game show where the ending's already filmed.",,Beijing Loyalist John Lee won Hong Kong elections—that's democracy being done by an angry party that's basically saying 'democracy for life.',Beijing's rising up the ladder—democracy's a new breed.,Hong Kong's next leader... but the Chinese government just backed it.
"UK Broadcaster To Air Satirical Musical On Prince Andrew
Joke:",They're singing about his scandals—hope he doesn't sweat through the premiere.,,He's singing satirical stuff and the internet got burned out.,BBC's getting royal advice—literally.,Broadcasters to air a drama on Prince Andrew—it's the drama.
"Rep. Marjorie Taylor Greene Tells Reporter To 'Go Back To Your Country'
Joke:",MTG told a reporter to leave—and nobody expected anything less.,,MTG reporter told a reporter to go back to Africa. That's politics at its worst.,MTG warned a reporter to go back to her native land—that's colonialism being a national tragedy.,Greene's telling reporter to 'Go back to your country'—and now she's getting better.
"A Nebraska Man Conducted An Active Shooter Drill. Employees Had No Idea.
Joke:",He really took 'surprise training' to a traumatizing new level.,,He actually performed a drill. Employees were traumatized—expertise here.,A man conducted an active shooter drill—that's a tragedy.,Someone had a shot. It's the man who killed the shooter. That's not the man's making it happen.
"Man Arrested For Alleged Bomb Threat Against Arizona Election Official After Jan. 6
Joke:",He threatened a bomb over elections—because apparently words weren't enough.,,"A man was arrested for bomb threats—that's not what you think about bomb threats, that's a serious charge.",A guy got arrested for bombing an election official—that's a guy who's going to jail for this.,The governor killed him after the attack—that's right?
"Republicans Cheer As Congressional Candidate Demands Fauci's Execution By Firing Squad
Joke:",Republicans cheered execution talk about a doctor—that's how far we've fallen as a country.,,Republicans cheer their death threats—that's the Republican equivalent of saying 'I think you betrayed your country.',GOP Cheer As A Candidate Threatens Execution By Firing Squad—that's just 'fight your conscience.',Republicans' slashed the edict—that's a fake execation.
"Twitter Bans Ads That Contradict Science On Climate Change
Joke:","Twitter bans climate denial ads—that's great, except Twitter also lets Nazis hang out, so their priorities are interesting.",,Twitter banned climate denial ads—because they don't make sense.,Twitter bans climate denial ads—that's the internet's political equivalent of banning your WiFi.,Twitter banned science—that's not the most hostile approach ever.
"Judge Temporarily Blocks North Dakota Trigger Law Banning Abortion
Joke:",The trigger law got triggered—by a judge with a gavel.,,The trigger law is dead—the trigger law just added insult to injury.,MTB's basically blocked a trigger law that's basically banning women—which is pretty cool.,A judge temporarily enacted a felony—that’s a procrastination that's just like a democrat.
"Norway's King Tests Positive For COVID, Has Mild Symptoms
Joke:",The Norwegian king got COVID. COVID doesn't care about your crown.,,A king got COVID and showed signs—bad news for your kingdom.,He's testing for COVID—that's a sign of dysfunction.,Norway's president tested positive for COVID—and has a mild symptom.
"UN Says Women Pay Highest Price In Conflict, Now In Ukraine
Joke:",The UN said women pay the highest price in war. That's fancy UN speak for 'women get raped.',,Women are paying the highest price in wartime—that's imperialism disguised as caring.,UN says women pay more for food than men. That's women's responsibility.,UN says women pay the highest price in conflict—and then they're in conflict.
"Putin Plans To Snub Gorbachev's Funeral
Joke:",Even in death Gorbachev's still getting the cold shoulder from Putin.,,Putin snubbed Gorbachev—and now they're doing the same thing—while he's celebrating.,Putin snubbed Putin's funeral—that's basically saying 'We're done celebrating.',Putin's planning to save Gorbachev—that's a funeral.
"Russian Airstrike Hits Base In Western Ukraine, Kills 35
Joke:",Russia killed 35 people in an airstrike. That's war crimes with a body count.,,The airstrike killed 35 people and wounded more. That's called genocide.,Russia killed 35 people—that's the horror level of war that's happening right now.,Russian airstrike killed 35 people—it's just too dangerous to get into the air.
"Russia Accuses Ukraine, U.S. Of Biological Weapon Operations In Heated U.N. Face-Off
Joke:",Russia accused Ukraine of bioweapons at the UN. That's conspiracy theory with diplomatic immunity.,,Russia blames Ukraine—in public.,"Russia accused Ukraine of biological weapons—that's not reality, that's a plot twist disguised as diplomatic nonsense.",Russia accused Ukraine of Biological weapons operations—the story is similar to a naughty fight with a fad—that's the same as Russia's own version.
"want, islands
Joke:","I want to escape to islands, but my couch island is already booked. ​",,"I want islands, but my GPS said ""try again.""",I want islands. They lie at the shore. I don't care where they end up.,You want islands... so I'm still living the way I want them.
"hello, mean
Joke:","Hello, mean weather—can we negotiate?",,Hello—mean! I’m not here. Even my friend disagrees. Very normal.,"Hello? Mean. I said, Are you sure? He replied, Yes, I'm sure.","Hello, I mean I am a big sexy person."
